user_id,order_id,Date,Amount,Merchant_id,Purchase_status
21269588,4169517626,01/01/2020,"10,000",13,
28097592,4170276686,01/01/2020,"20,000",13,
47435144,4166729310,01/01/2020,"10,000",12,
29080935,4174460303,01/01/2020,"10,000",13,
14591075,4168216749,01/01/2020,"10,000",12,
43155015,4171808289,01/01/2020,"10,000",12,
50568745,4168401164,01/01/2020,"10,000",13,
38802645,4167009272,01/01/2020,"20,000",12,
28698657,4166562735,01/01/2020,"10,000",15,
42557469,4168300611,01/01/2020,"50,000",12,
45179287,4172775542,01/01/2020,"30,000",12,
49801960,4173144327,01/01/2020,"10,000",14,
48442020,4172250872,01/01/2020,"50,000",14,
36845154,4172898831,01/01/2020,"50,000",12,
42275799,4174262889,01/01/2020,"50,000",13,
36313144,4170080390,01/01/2020,"30,000",14,
50912625,4169639519,01/01/2020,"30,000",13,
15602866,4172907480,01/01/2020,"50,000",13,
20016834,4168541794,01/01/2020,"50,000",13,Mua h_
35501803,4173353083,01/01/2020,"100,000",13,Mua h_
31031180,4173831250,01/01/2020,"50,000",13,Mua h_
29638368,4170342010,01/01/2020,"100,000",12,Mua h_
26273764,4168184448,01/01/2020,"200,000",14,Mua h_
32556798,4173098103,01/01/2020,"100,000",13,Mua h_
41450353,4172714338,01/01/2020,"100,000",12,Mua h_
41427375,4174362033,01/01/2020,"200,000",12,Mua h_
20770193,4171611019,01/01/2020,"500,000",13,Mua h_
38568294,4177585867,02/01/2020,"10,000",13,
42823224,4177578804,02/01/2020,"10,000",13,
14918070,4175600541,02/01/2020,"10,000",12,
50111941,4179472145,02/01/2020,"20,000",12,
45570169,4175467760,02/01/2020,"20,000",12,
17342870,4178318599,02/01/2020,"50,000",12,
44903164,4182227292,02/01/2020,"20,000",12,
46643618,4175607358,02/01/2020,"10,000",12,
45314265,4182856061,02/01/2020,"50,000",12,
40286438,4176928288,02/01/2020,"50,000",12,
37356945,4182555272,02/01/2020,"50,000",14,
39557508,4180781659,02/01/2020,"30,000",13,Mua h_
6483747,4178859972,02/01/2020,"30,000",12,
40234431,4177771395,02/01/2020,"30,000",13,
34589794,4177253223,02/01/2020,"20,000",12,
49639792,4184029048,02/01/2020,"50,000",12,
27252617,4184042462,02/01/2020,"100,000",12,Mua h_
28327930,4179781809,02/01/2020,"100,000",14,Mua h_
51720976,4181662960,02/01/2020,"200,000",13,Mua h_
14751825,4176283500,02/01/2020,"100,000",12,Mua h_
42664618,4183971155,02/01/2020,"100,000",12,Mua h_
42645002,4175356264,02/01/2020,"100,000",12,Mua h_
48104068,4182174335,02/01/2020,"20,000",13,
37319421,4183269838,02/01/2020,"20,000",14,
39040327,4180919466,02/01/2020,"20,000",12,
51461883,4177498856,02/01/2020,"10,000",12,
51892918,4182152019,02/01/2020,"50,000",13,Mua h_
33127817,4181199882,02/01/2020,"200,000",13,Mua h_
39667677,4191745972,03/01/2020,"10,000",15,
23456872,4185462148,03/01/2020,"50,000",12,
40691982,4185316342,03/01/2020,"10,000",13,
48306901,4189247472,03/01/2020,"10,000",12,
43954633,4188909994,03/01/2020,"10,000",12,
50295353,4191811733,03/01/2020,"10,000",12,
40567484,4188917695,03/01/2020,"10,000",12,
18625241,4188950970,03/01/2020,"50,000",13,
22151570,4190923313,03/01/2020,"50,000",15,
41333369,4190070748,03/01/2020,"20,000",12,
48283680,4187484249,03/01/2020,"10,000",12,
49929654,4186818445,03/01/2020,"50,000",13,
36034244,4185276800,03/01/2020,"50,000",12,
45636789,4184331151,03/01/2020,"20,000",12,
46589604,4191064185,03/01/2020,"10,000",13,
34086017,4188178189,03/01/2020,"50,000",13,
45824431,4189522303,03/01/2020,"30,000",13,Mua h_
38991899,4187610201,03/01/2020,"20,000",13,
10404620,4184770784,03/01/2020,"20,000",14,
46939212,4191386544,03/01/2020,"50,000",13,Mua h_
46641209,4188264197,03/01/2020,"100,000",14,Mua h_
433921,4188833541,03/01/2020,"100,000",13,Mua h_
52266202,4185417952,03/01/2020,"20,000",14,
49293495,4190258172,03/01/2020,"20,000",13,
46293493,4191063169,03/01/2020,"50,000",12,
50895820,4184335959,03/01/2020,"20,000",12,
24556679,4187400751,03/01/2020,"50,000",13,Mua h_
39668530,4187299687,03/01/2020,"100,000",12,Mua h_
48869217,4184124853,03/01/2020,"200,000",12,Mua h_
7343035,4189917898,03/01/2020,"200,000",12,Mua h_
35772529,4199271390,04/01/2020,"10,000",14,
3895427,4200777656,04/01/2020,"50,000",12,
18282018,4194911975,04/01/2020,"50,000",14,Mua h_
44304188,4201246295,04/01/2020,"10,000",12,
24735866,4196031243,04/01/2020,"10,000",12,
41736980,4195532503,04/01/2020,"10,000",14,
47642075,4199316715,04/01/2020,"20,000",12,
38743740,4197931129,04/01/2020,"10,000",14,
41574257,4198874224,04/01/2020,"50,000",12,
27122138,4196089628,04/01/2020,"50,000",14,
43161561,4195000783,04/01/2020,"10,000",12,
43351514,4201005874,04/01/2020,"50,000",12,
33138809,4198711061,04/01/2020,"10,000",13,
16695119,4193718283,04/01/2020,"50,000",12,
43098253,4195285269,04/01/2020,"20,000",12,
44112085,4195171488,04/01/2020,"20,000",13,
42079797,4195086640,04/01/2020,"10,000",12,
48752944,4201023307,04/01/2020,"100,000",13,Mua h_
46694833,4201366223,04/01/2020,"100,000",13,Mua h_
42491494,4197924789,04/01/2020,"100,000",12,Mua h_
50801991,4195477221,04/01/2020,"50,000",12,
47088232,4197226241,04/01/2020,"30,000",12,
45374761,4199310659,04/01/2020,"20,000",12,
42611490,4194191622,04/01/2020,"20,000",14,
48468004,4196052624,04/01/2020,"50,000",15,
41804908,4195157048,04/01/2020,"100,000",14,Mua h_
17930178,4208656160,05/01/2020,"10,000",14,
36741853,4208931365,05/01/2020,"10,000",13,
50724201,4206303564,05/01/2020,"20,000",14,
32514604,4205854713,05/01/2020,"100,000",14,Mua h_
42449093,4201954845,05/01/2020,"20,000",12,
40297145,4202258054,05/01/2020,"50,000",12,
48642148,4208009161,05/01/2020,"20,000",12,
50164589,4201676138,05/01/2020,"20,000",12,
46786668,4206399447,05/01/2020,"50,000",12,
46938024,4206111595,05/01/2020,"10,000",13,
5609637,4203607181,05/01/2020,"30,000",14,
24996915,4206694027,05/01/2020,"50,000",14,
52341496,4209370223,05/01/2020,"100,000",12,Mua h_
39793072,4206481067,05/01/2020,"20,000",13,
50536653,4203747780,05/01/2020,"50,000",12,
44224725,4202603561,05/01/2020,"100,000",12,Mua h_
39643372,4206803877,05/01/2020,"50,000",13,
41037361,4208135077,05/01/2020,"20,000",15,
28192570,4204928092,05/01/2020,"20,000",13,
1020897,4203743220,05/01/2020,"50,000",12,
38441824,4205437612,05/01/2020,"20,000",13,
40674684,4208305397,05/01/2020,"20,000",12,
50037817,4203109408,05/01/2020,"20,000",15,
52146440,4205538260,05/01/2020,"20,000",12,
48918278,4208887560,05/01/2020,"20,000",12,
40393105,4211844699,06/01/2020,"10,000",15,
43667830,4212419253,06/01/2020,"10,000",13,
41744238,4212519174,06/01/2020,"10,000",13,
41737461,4210901794,06/01/2020,"100,000",13,
46148297,4215986274,06/01/2020,"100,000",14,
44092973,4211784198,06/01/2020,"10,000",14,
40754110,4211621636,06/01/2020,"50,000",12,
34925312,4218335573,06/01/2020,"50,000",13,
52307145,4215337396,06/01/2020,"50,000",12,
41213868,4215798679,06/01/2020,"50,000",12,
40914676,4214530856,06/01/2020,"50,000",12,
15431947,4215658287,06/01/2020,"20,000",12,
41662105,4210906739,06/01/2020,"10,000",12,
52286524,4212019431,06/01/2020,"20,000",14,
44277149,4216890957,06/01/2020,"50,000",13,
47612546,4210489691,06/01/2020,"10,000",12,
50802214,4217048837,06/01/2020,"50,000",13,
47954000,4217462362,06/01/2020,"20,000",12,
36826440,4210137846,06/01/2020,"50,000",14,
20536213,4209784686,06/01/2020,"100,000",13,Mua h_
31423896,4216099382,06/01/2020,"50,000",14,
27713094,4210318078,06/01/2020,"50,000",14,
45091126,4214248724,06/01/2020,"20,000",12,
41457711,4212525642,06/01/2020,"100,000",14,Mua h_
38838834,4217220450,06/01/2020,"100,000",12,Mua h_
43727357,4212257898,06/01/2020,"10,000",12,
36370239,4211250901,06/01/2020,"50,000",13,
44253392,4219801157,07/01/2020,"10,000",14,
47447314,4225890813,07/01/2020,"30,000",12,
42463210,4219529172,07/01/2020,"20,000",13,
21203234,4224184672,07/01/2020,"30,000",12,
43452424,4224018488,07/01/2020,"30,000",12,
4198027,4225518991,07/01/2020,"10,000",12,
36910469,4219213328,07/01/2020,"10,000",13,
31252154,4221203084,07/01/2020,"500,000",13,Mua h_
43889142,4223621861,07/01/2020,"100,000",12,
40034877,4220019404,07/01/2020,"50,000",14,
15420155,4221698835,07/01/2020,"10,000",12,
45612772,4220422348,07/01/2020,"30,000",12,
44637485,4219530285,07/01/2020,"100,000",12,
37089718,4236262793,08/01/2020,"10,000",14,
40323241,4233014457,08/01/2020,"10,000",14,
39070735,4237513216,08/01/2020,"20,000",13,
44363205,4236973519,08/01/2020,"20,000",12,
5319518,4229406419,08/01/2020,"50,000",13,
41217395,4229113933,08/01/2020,"100,000",13,Mua h_
47939444,4230717526,08/01/2020,"20,000",12,
41466242,4233008927,08/01/2020,"10,000",12,
47941938,4236338234,08/01/2020,"10,000",15,
45203001,4232209905,08/01/2020,"20,000",12,
1197234,4231365903,08/01/2020,"20,000",12,
42817538,4235134351,08/01/2020,"10,000",14,
41317552,4236373139,08/01/2020,"100,000",13,
51098879,4228618269,08/01/2020,"20,000",12,
50356824,4237681683,08/01/2020,"10,000",14,
44019750,4235530631,08/01/2020,"10,000",13,
48849717,4237461085,08/01/2020,"20,000",15,
42364953,4233690815,08/01/2020,"20,000",13,
49526720,4235727682,08/01/2020,"100,000",12,
42560232,4235424465,08/01/2020,"50,000",13,
44757772,4236374376,08/01/2020,"30,000",12,
51483064,4232262167,08/01/2020,"10,000",13,
44691575,4233857317,08/01/2020,"100,000",13,
11367669,4230460130,08/01/2020,"100,000",13,
25642381,4230621816,08/01/2020,"100,000",14,
47469275,4236329142,08/01/2020,"10,000",13,
2892775,4235452467,08/01/2020,"50,000",12,
35954126,4232163350,08/01/2020,"20,000",13,
48033441,4229632199,08/01/2020,"20,000",13,
33719853,4229116085,08/01/2020,"10,000",13,
33770156,4235531349,08/01/2020,"100,000",13,Mua h_
48517981,4232726658,08/01/2020,"50,000",13,
42831527,4236638939,08/01/2020,"20,000",12,
47018965,4235795318,08/01/2020,"30,000",12,
21689769,4234663407,08/01/2020,"50,000",12,
43768107,4234890686,08/01/2020,"30,000",12,
51989629,4228822660,08/01/2020,"50,000",12,
9146979,4238905058,09/01/2020,"10,000",13,
42351011,4242202785,09/01/2020,"20,000",12,
42218439,4245680473,09/01/2020,"50,000",12,
30148198,4244805057,09/01/2020,"20,000",15,
47357358,4242508126,09/01/2020,"20,000",13,
43664428,4245941211,09/01/2020,"100,000",12,
43026864,4239396240,09/01/2020,"20,000",13,
49134346,4244965506,09/01/2020,"20,000",12,
48643837,4246459787,09/01/2020,"20,000",12,
43345686,4246206628,09/01/2020,"50,000",12,
50552067,4238388238,09/01/2020,"50,000",14,
36395586,4246467481,09/01/2020,"50,000",14,
37163634,4244520926,09/01/2020,"20,000",13,
1622554,4246158219,09/01/2020,"20,000",12,
52426226,4238385256,09/01/2020,"20,000",12,
49779766,4238179676,09/01/2020,"50,000",12,
48787354,4241673916,09/01/2020,"20,000",12,
52334698,4241882254,09/01/2020,"20,000",12,
52445533,4245139770,09/01/2020,"20,000",12,
3613876,4246174399,09/01/2020,"50,000",13,
34887279,4243221826,09/01/2020,"50,000",15,
5815125,4243028084,09/01/2020,"100,000",14,Mua h_
35675758,4240594785,09/01/2020,"100,000",13,Mua h_
8073604,4243221374,09/01/2020,"50,000",12,
42471969,4245682537,09/01/2020,"10,000",14,
51032713,4240539432,09/01/2020,"10,000",13,
51089930,4244118086,09/01/2020,"20,000",12,
36864020,4240237500,09/01/2020,"100,000",14,
